id_votacao,id_deputado,tipoVoto,dataRegistroVoto
2367600-35,220704,0.0,2023-09-27T20:13:19
2367600-35,220624,0.0,2023-09-27T20:13:18
2367600-35,204379,0.0,2023-09-27T20:13:16
2367600-35,214694,Obstrução,2023-09-27T20:13:16
2367600-35,220547,Obstrução,2023-09-27T20:13:16
2367600-35,74383,Obstrução,2023-09-27T20:13:15
2367600-35,220546,Obstrução,2023-09-27T20:13:14
2367600-35,178983,Obstrução,2023-09-27T20:13:13
2367600-35,220545,Obstrução,2023-09-27T20:13:13
2367600-35,220577,0.0,2023-09-27T20:13:13
2367600-35,74371,0.0,2023-09-27T20:13:12
2367600-35,220667,0.0,2023-09-27T20:13:12
2367600-35,160635,0.0,2023-09-27T20:13:11
2367600-35,178929,0.0,2023-09-27T20:13:11
2367600-35,220638,Obstrução,2023-09-27T20:13:11
2367600-35,220699,0.0,2023-09-27T20:13:10
2367600-35,133810,Obstrução,2023-09-27T20:13:09
2367600-35,73801,0.0,2023-09-27T20:13:08
2367600-35,141480,0.0,2023-09-27T20:13:08
2367600-35,178909,0.0,2023-09-27T20:13:08
2367600-35,204391,0.0,2023-09-27T20:13:08
2367600-35,220588,0.0,2023-09-27T20:13:08
2367600-35,204492,0.0,2023-09-27T20:13:07
2367600-35,220677,0.0,2023-09-27T20:13:06
2367600-35,74262,0.0,2023-09-27T20:13:05
2367600-35,220526,1.0,2023-09-27T20:13:04
2367600-35,160673,Obstrução,2023-09-27T20:13:03
2367600-35,220694,0.0,2023-09-27T20:13:03
2367600-35,141531,0.0,2023-09-27T20:13:02
2367600-35,160665,0.0,2023-09-27T20:13:02
2367600-35,204480,0.0,2023-09-27T20:13:02
2367600-35,220537,0.0,2023-09-27T20:13:02
2367600-35,160535,0.0,2023-09-27T20:13:00
2367600-35,220653,0.0,2023-09-27T20:12:59
2367600-35,74467,0.0,2023-09-27T20:12:57
2367600-35,220532,0.0,2023-09-27T20:12:57
2367600-35,220561,0.0,2023-09-27T20:12:56
2367600-35,220595,Obstrução,2023-09-27T20:12:56
2367600-35,220619,Obstrução,2023-09-27T20:12:56
2367600-35,178910,Obstrução,2023-09-27T20:12:55
2367600-35,220602,0.0,2023-09-27T20:12:55
2367600-35,220654,Obstrução,2023-09-27T20:12:55
2367600-35,220639,0.0,2023-09-27T20:12:54
2367600-35,220713,0.0,2023-09-27T20:12:54
2367600-35,206018,0.0,2023-09-27T20:12:52
2367600-35,220635,0.0,2023-09-27T20:12:52
2367600-35,92346,Obstrução,2023-09-27T20:12:51
2367600-35,220575,Obstrução,2023-09-27T20:12:51
2367600-35,160575,0.0,2023-09-27T20:12:50
2367600-35,220600,0.0,2023-09-27T20:12:50
2367600-35,178829,Obstrução,2023-09-27T20:12:49
2367600-35,221378,0.0,2023-09-27T20:12:49
2367600-35,160976,0.0,2023-09-27T20:12:48
2367600-35,204497,0.0,2023-09-27T20:12:48
2367600-35,91228,0.0,2023-09-27T20:12:46
2367600-35,220594,1.0,2023-09-27T20:12:46
2367600-35,178997,0.0,2023-09-27T20:12:45
2367600-35,221339,0.0,2023-09-27T20:12:45
2367600-35,220611,Obstrução,2023-09-27T20:12:44
2367600-35,221328,Abstenção,2023-09-27T20:12:44
2367600-35,160545,0.0,2023-09-27T20:12:43
2367600-35,74084,0.0,2023-09-27T20:12:42
2367600-35,178860,0.0,2023-09-27T20:12:42
2367600-35,220682,0.0,2023-09-27T20:12:42
2367600-35,74171,0.0,2023-09-27T20:12:41
2367600-35,220618,1.0,2023-09-27T20:12:40
2367600-35,160598,0.0,2023-09-27T20:12:38
2367600-35,178881,0.0,2023-09-27T20:12:38
2367600-35,220531,0.0,2023-09-27T20:12:38
2367600-35,81055,0.0,2023-09-27T20:12:37
2367600-35,204506,0.0,2023-09-27T20:12:37
2367600-35,74283,0.0,2023-09-27T20:12:36
2367600-35,160518,0.0,2023-09-27T20:12:35
2367600-35,178934,0.0,2023-09-27T20:12:35
2367600-35,178970,0.0,2023-09-27T20:12:35
2367600-35,222429,0.0,2023-09-27T20:12:35
2367600-35,160556,0.0,2023-09-27T20:12:34
2367600-35,204482,0.0,2023-09-27T20:12:34
2367600-35,220589,0.0,2023-09-27T20:12:34
2367600-35,133439,0.0,2023-09-27T20:12:33
2367600-35,171623,0.0,2023-09-27T20:12:33
2367600-35,220599,0.0,2023-09-27T20:12:33
2367600-35,220650,0.0,2023-09-27T20:12:33
2367600-35,74317,0.0,2023-09-27T20:12:32
2367600-35,104552,0.0,2023-09-27T20:12:31
2367600-35,178966,0.0,2023-09-27T20:12:31
2367600-35,74537,0.0,2023-09-27T20:12:30
2367600-35,160592,0.0,2023-09-27T20:12:29
2367600-35,204356,0.0,2023-09-27T20:12:29
2367600-35,204495,0.0,2023-09-27T20:12:29
2367600-35,204508,0.0,2023-09-27T20:12:29
2367600-35,213274,0.0,2023-09-27T20:12:29
2367600-35,73604,0.0,2023-09-27T20:12:28
2367600-35,74376,0.0,2023-09-27T20:12:28
2367600-35,109429,0.0,2023-09-27T20:12:28
2367600-35,153423,0.0,2023-09-27T20:12:28
2367600-35,198783,0.0,2023-09-27T20:12:28
2367600-35,204368,1.0,2023-09-27T20:12:28
2367600-35,220696,0.0,2023-09-27T20:12:28
2367600-35,74646,0.0,2023-09-27T20:12:27
2367600-35,220564,0.0,2023-09-27T20:12:27
2367600-35,220571,0.0,2023-09-27T20:12:27
2367600-35,220622,0.0,2023-09-27T20:12:27
2367600-35,143942,0.0,2023-09-27T20:12:26
2367600-35,74299,0.0,2023-09-27T20:12:24
2367600-35,220533,0.0,2023-09-27T20:12:24
2367600-35,220632,0.0,2023-09-27T20:12:24
2367600-35,220702,0.0,2023-09-27T20:12:24
2367600-35,74041,0.0,2023-09-27T20:12:23
2367600-35,123086,0.0,2023-09-27T20:12:23
2367600-35,220691,0.0,2023-09-27T20:12:23
2367600-35,220583,0.0,2023-09-27T20:12:22
2367600-35,141408,0.0,2023-09-27T20:12:21
2367600-35,141516,0.0,2023-09-27T20:12:21
2367600-35,179001,0.0,2023-09-27T20:12:21
2367600-35,220560,0.0,2023-09-27T20:12:21
2367600-35,220695,0.0,2023-09-27T20:12:21
2367600-35,204535,0.0,2023-09-27T20:12:20
2367600-35,220617,0.0,2023-09-27T20:12:20
2367600-35,204456,0.0,2023-09-27T20:12:19
2367600-35,74858,0.0,2023-09-27T20:12:18
2367600-35,204407,0.0,2023-09-27T20:12:18
2367600-35,220686,0.0,2023-09-27T20:12:18
2367600-35,220553,0.0,2023-09-27T20:12:16
2367600-35,221338,0.0,2023-09-27T20:12:16
2367600-35,66385,0.0,2023-09-27T20:12:14
2367600-35,160161,0.0,2023-09-27T20:12:14
2367600-35,204567,0.0,2023-09-27T20:12:14
2367600-35,220570,0.0,2023-09-27T20:12:14
2367600-35,220669,0.0,2023-09-27T20:12:14
2367600-35,204486,0.0,2023-09-27T20:12:13
2367600-35,224117,0.0,2023-09-27T20:12:13
2367600-35,204358,0.0,2023-09-27T20:12:12
2367600-35,220649,0.0,2023-09-27T20:12:12
2367600-35,220703,0.0,2023-09-27T20:12:12
2367600-35,226179,0.0,2023-09-27T20:12:12
2367600-35,107970,0.0,2023-09-27T20:12:11
2367600-35,141459,0.0,2023-09-27T20:12:11
2367600-35,74159,0.0,2023-09-27T20:12:10
2367600-35,160548,0.0,2023-09-27T20:12:09
2367600-35,220701,0.0,2023-09-27T20:12:09
2367600-35,220708,0.0,2023-09-27T20:12:09
2367600-35,107283,0.0,2023-09-27T20:12:08
2367600-35,141470,0.0,2023-09-27T20:12:08
2367600-35,204557,0.0,2023-09-27T20:12:08
2367600-35,220615,0.0,2023-09-27T20:12:08
2367600-35,204534,0.0,2023-09-27T20:12:07
2367600-35,74057,0.0,2023-09-27T20:12:05
2367600-35,220707,0.0,2023-09-27T20:12:05
2367600-35,221148,0.0,2023-09-27T20:12:05
2367600-35,220671,0.0,2023-09-27T20:12:04
2367600-35,191923,0.0,2023-09-27T20:12:03
2367600-35,204540,0.0,2023-09-27T20:12:03
2367600-35,220544,0.0,2023-09-27T20:12:03
2367600-35,204445,0.0,2023-09-27T20:12:02
2367600-35,209189,0.0,2023-09-27T20:12:02
2367600-35,224333,0.0,2023-09-27T20:12:02
2367600-35,220581,0.0,2023-09-27T20:12:01
2367600-35,204504,0.0,2023-09-27T20:12:00
2367600-35,220584,0.0,2023-09-27T20:11:58
2367600-35,204491,0.0,2023-09-27T20:11:56
2367600-35,220685,0.0,2023-09-27T20:11:56
2367600-35,171617,0.0,2023-09-27T20:11:55
2367600-35,204355,0.0,2023-09-27T20:11:55
2367600-35,204408,0.0,2023-09-27T20:11:55
2367600-35,178857,0.0,2023-09-27T20:11:54
2367600-35,204457,0.0,2023-09-27T20:11:54
2367600-35,188097,0.0,2023-09-27T20:11:52
2367600-35,178873,0.0,2023-09-27T20:11:51
2367600-35,74856,0.0,2023-09-27T20:11:49
2367600-35,122974,0.0,2023-09-27T20:11:49
2367600-35,220605,0.0,2023-09-27T20:11:49
2367600-35,220534,0.0,2023-09-27T20:11:48
2367600-35,220586,0.0,2023-09-27T20:11:48
2367600-35,74848,0.0,2023-09-27T20:11:45
2367600-35,218086,0.0,2023-09-27T20:11:44
2367600-35,178895,0.0,2023-09-27T20:11:43
2367600-35,171786,0.0,2023-09-27T20:11:42
2367600-35,204426,0.0,2023-09-27T20:11:42
2367600-35,220612,0.0,2023-09-27T20:11:42
2367600-35,204433,0.0,2023-09-27T20:11:39
2367600-35,220598,0.0,2023-09-27T20:11:37
2367600-35,178954,Artigo 17,2023-09-27T20:11:24
2367600-49,74156,1.0,2023-09-27T21:53:54
2367600-49,74856,1.0,2023-09-27T21:53:30
2367600-49,73778,1.0,2023-09-27T21:53:27
2367600-49,220574,Obstrução,2023-09-27T21:53:26
2367600-49,178910,Obstrução,2023-09-27T21:53:18
2367600-49,220533,1.0,2023-09-27T21:53:18
2367600-49,204535,1.0,2023-09-27T21:52:50
2367600-49,204361,1.0,2023-09-27T21:52:36
2367600-49,220547,Obstrução,2023-09-27T21:52:13
2367600-49,139285,1.0,2023-09-27T21:52:05
2367600-49,178989,1.0,2023-09-27T21:52:03
2367600-49,204374,Obstrução,2023-09-27T21:52:01
2367600-49,178895,1.0,2023-09-27T21:51:20
2367600-49,220545,Obstrução,2023-09-27T21:50:49
2367600-49,204455,Obstrução,2023-09-27T21:50:44
2367600-49,209189,1.0,2023-09-27T21:50:36
2367600-49,204528,Obstrução,2023-09-27T21:50:35
2367600-49,220641,1.0,2023-09-27T21:50:31
2367600-49,62881,1.0,2023-09-27T21:50:24
2367600-49,141431,1.0,2023-09-27T21:50:12
2367600-49,156190,Obstrução,2023-09-27T21:50:06
2367600-49,141464,1.0,2023-09-27T21:50:03
2367600-49,220554,1.0,2023-09-27T21:50:02
2367600-49,220613,Obstrução,2023-09-27T21:49:54
2367600-49,204557,1.0,2023-09-27T21:49:50
2367600-49,220579,Obstrução,2023-09-27T21:49:41
2367600-49,220697,1.0,2023-09-27T21:49:29
2367600-49,74585,Obstrução,2023-09-27T21:49:26
2367600-49,204492,1.0,2023-09-27T21:49:19
2367600-49,178927,1.0,2023-09-27T21:48:49
2367600-49,220584,1.0,2023-09-27T21:48:45
2367600-49,220529,1.0,2023-09-27T21:48:21
2367600-49,204360,Obstrução,2023-09-27T21:48:18
2367600-49,204450,1.0,2023-09-27T21:48:13
2367600-49,133810,Obstrução,2023-09-27T21:48:09
2367600-49,220611,Obstrução,2023-09-27T21:47:59
2367600-49,178857,1.0,2023-09-27T21:47:32
2367600-49,141480,1.0,2023-09-27T21:47:31
2367600-49,220536,1.0,2023-09-27T21:47:27
2367600-49,178987,1.0,2023-09-27T21:47:22
